"Event Name";"Currency";"Date";"Actual";"Forecast";"Previous"
"Initial Jobless Claims";"USD";"08:30";"2022-06-02";"200K";"210K";"211K"
"Imports";"USD";"11:00";"2022-06-02";"0.083M";"";"-0.903M"
"Manufacturing PMI";"EUR";"04:00";"2022-06-03";"56.1";"56.3";"56.3"
"Retail Sales (MoM)";"EUR";"05:00";"2022-06-03";"-1.3%";"0.3%";"0.3%"
"Retail Sales (YoY)";"EUR";"05:00";"2022-06-03";"3.9%";"5.4%";"1.6%"
"Unemployment Rate";"USD";"08:30";"2022-06-03";"3.6%";"3.5%";"3.6%"
"Manufacturing PMI";"USD";"09:45";"2022-06-03";"53.4";"53.5";"55.6"
"Manufacturing PMI";"USD";"10:00";"2022-06-03";"55.9";"56.4";"57.1"
"Exports";"USD";"08:30";"2022-06-07";"252.60B";"";"241.70B"
"Imports";"USD";"08:30";"2022-06-07";"339.70B";"";"351.50B"
"Imports";"USD";"10:30";"2022-06-08";"1.694M";"";"0.083M"
"Initial Jobless Claims";"USD";"08:30";"2022-06-09";"229K";"210K";"202K"
"Core CPI (YoY)";"USD";"08:30";"2022-06-10";"6.0%";"5.9%";"6.2%"
"Core CPI (MoM)";"USD";"08:30";"2022-06-10";"0.6%";"0.5%";"0.6%"
"CPI (MoM)";"USD";"08:30";"2022-06-10";"1.0%";"0.7%";"0.3%"
"CPI (YoY)";"USD";"08:30";"2022-06-10";"8.6%";"8.3%";"8.3%"
"CPI (MoM)";"USD";"11:00";"2022-06-10";"0.6%";"";"0.5%"
"Core PPI (YoY)";"USD";"08:30";"2022-06-14";"8.3%";"8.6%";"8.6%"
"Core PPI (MoM)";"USD";"08:30";"2022-06-14";"0.5%";"0.6%";"0.2%"
"PPI (MoM)";"USD";"08:30";"2022-06-14";"0.8%";"0.8%";"0.4%"
"PPI (YoY)";"USD";"08:30";"2022-06-14";"10.8%";"10.9%";"10.9%"
"Retail Sales (MoM)";"USD";"08:30";"2022-06-15";"0.5%";"0.8%";"0.4%"
"Retail Sales (MoM)";"USD";"08:30";"2022-06-15";"-0.3%";"0.2%";"0.7%"
"Retail Sales (YoY)";"USD";"08:30";"2022-06-15";"8.09%";"";"7.82%"
"Imports";"USD";"10:30";"2022-06-15";"-0.662M";"";"1.694M"
"Initial Jobless Claims";"USD";"08:30";"2022-06-16";"229K";"215K";"232K"
"Core CPI (MoM)";"EUR";"05:00";"2022-06-17";"0.5%";"0.5%";"0.5%"
"Core CPI (YoY)";"EUR";"05:00";"2022-06-17";"3.8%";"3.8%";"3.5%"
"CPI (YoY)";"EUR";"05:00";"2022-06-17";"8.1%";"8.1%";"7.4%"
"CPI (MoM)";"EUR";"05:00";"2022-06-17";"0.8%";"0.8%";"0.6%"
"Existing Home Sales (MoM)";"USD";"10:00";"2022-06-21";"-3.4%";"";"-2.6%"
"Existing Home Sales";"USD";"10:00";"2022-06-21";"5.41M";"5.39M";"5.60M"
"Manufacturing PMI";"EUR";"04:00";"2022-06-23";"52.0";"53.9";"54.6"
"Manufacturing PMI";"EUR";"04:00";"2022-06-23";"52.8";"55.5";"56.1"
"Initial Jobless Claims";"USD";"08:30";"2022-06-23";"229K";"227K";"231K"
"Manufacturing PMI";"USD";"09:45";"2022-06-23";"52.4";"56.0";"57.0"
"Manufacturing PMI";"USD";"09:45";"2022-06-23";"51.6";"53.5";"53.4"
"Imports";"USD";"10:25";"2022-06-29";"-0.606M";"";"-0.662M"
"Imports";"USD";"10:30";"2022-06-29";"-0.036M";"";"-0.606M"
"Unemployment Rate";"EUR";"05:00";"2022-06-30";"6.6%";"6.8%";"6.7%"
"Initial Jobless Claims";"USD";"08:30";"2022-06-30";"231K";"228K";"233K"
"Manufacturing PMI";"EUR";"04:00";"2022-07-01";"52.1";"52.0";"54.6"
"Core CPI (YoY)";"EUR";"05:00";"2022-07-01";"3.7%";"";"3.8%"
"Core CPI (MoM)";"EUR";"05:00";"2022-07-01";"0.2%";"";"0.5%"
"CPI (MoM)";"EUR";"05:00";"2022-07-01";"0.8%";"";"0.8%"
"CPI (YoY)";"EUR";"05:00";"2022-07-01";"8.6%";"8.4%";"8.1%"
"Manufacturing PMI";"USD";"09:45";"2022-07-01";"52.7";"";"52.4"
"Manufacturing PMI";"USD";"10:00";"2022-07-01";"53.0";"54.9";"56.1"
"PPI (MoM)";"EUR";"05:00";"2022-07-04";"0.7%";"1.0%";"1.2%"
"PPI (YoY)";"EUR";"05:00";"2022-07-04";"36.3%";"36.7%";"37.2%"
"Manufacturing PMI";"EUR";"04:00";"2022-07-05";"53.0";"52.8";"56.1"
"Retail Sales (YoY)";"EUR";"05:00";"2022-07-06";"0.2%";"-0.4%";"4.0%"
"Retail Sales (MoM)";"EUR";"05:00";"2022-07-06";"0.2%";"0.4%";"-1.4%"
"Manufacturing PMI";"USD";"09:45";"2022-07-06";"52.7";"51.6";"51.6"
"Manufacturing PMI";"USD";"10:00";"2022-07-06";"55.3";"54.3";"55.9"
